FrameworkNumber,Category
RM6382,Fleet
RM956,Fleet
CM/FMT/03/631,Fleet
CM/FMT/05/4368,Fleet
CM/FMT/06/4480,Fleet
CM/FMT/07/4729,Fleet
CM/FMT/07/4786,Fleet
CM/FMT/08/4984,Fleet
CM/FMT/08/5046,Fleet
CM/FMT/03/913,Fleet
CM/FMU/03/628,Fleet
RM1070,Fleet
RM3814,Fleet
RM6060,Fleet
RM6244,Fleet
RM955,Fleet
RM1011,Fleet
RM6143,Fleet
RM6315,Fleet
RM3767,Fleet
RM3754,Fleet
RM6142,Fleet
RM6353,Fleet
RM6235,Network Services
RM6370,Network Services
RM6339,Network Services
RM6391,Network Services
RM526,Network Services
A217838,Network Services
RM6359,Network Services
RM6261,Network Services
RM6095,Network Services
RM6167,Network Services
RM6225,Network Services
RM6230,Network Services
RM6338,Network Services
RM6393,Network Services
RM828,Network Services
RM827,Network Services
RM976,Network Services
RM977,Network Services
RM978,Network Services
RM979,Network Services
RM980,Network Services
RM1498,Network Services
RM860,Network Services
RM1035,Network Services
GSI,Network Services
GTC01,Network Services
GTC99,Network Services
RM374,Network Services
BS1,Network Services
CM/ITB/03/1844,Network Services
CM/ITB/05/4215,Network Services
CM/RSC/05/4376,Network Services
CM/ITB/07/4848,Network Services
RM1085,Network Services
MTS,Network Services
RM3802,Network Services
RM1014,Network Services
RM6377,Network Services
RM1045,Network Services
RM3808,Network Services
RM3825,Network Services
RM6116,Network Services
RM6327,Managed Service
PCoE,Managed Service
RCUK,Managed Service
SPS,Managed Service
CO,Managed Service
HOCS-CM8_00014,Managed Service
2013/S 235-408288,Managed Service
2014/S 020-031462,Managed Service
CR150025BIS,Managed Service
RM6242,Construction
RM1030,Construction
RM365,Construction
RM457,Construction
CM/DCO/05/3422,Construction
A206101,Construction
A207547,Construction
A917812,Construction
RM3824,Construction
RM6356,Construction
RM3741,Construction
RM6165,Construction
RM3837,Construction
RM6157,Construction
RM673,Construction
A337056,Construction
A337085,Construction
RM722 LOT3,Construction
A337340,Construction
A337482,Construction
A113302A,Construction
A126229F,Construction
A337518,Construction
A335711A,Construction
A416521B,Construction
A337569,Construction
A337732,Construction
A337791,Construction
A516993,Construction
A517058D,Construction
A517058F,Construction
A517058G,Construction
A517058H,Construction
RM449,Construction
RM390,Construction
RM479,Construction
RM632,Construction
CMHCA085043,Construction
A126449,Construction
A126648,Construction
A127087,Construction
A127344,Construction
CM/FMA/05/4206,Construction
CM/FMM/03/1243,Construction
CM/FMM/03/877,Construction
CM/FMM/04/2419,Construction
CM/FMM/04/2434,Construction
CM/FMM/04/2500,Construction
CM/FMM/04/2598,Construction
CM/FMM/07/4789,Construction
CM/PCT/06/4546,Construction
A316867,Construction
CM/FMM/03/1572,Construction
CM/FMM/03/1821,Construction
CM/FMM/04/3171,Construction
A316977,Construction
CM/FMM/03/1791,Construction
CM/FMM/03/2124,Construction
CM/FMM/03/2125,Construction
CM/COT/03/1664,Construction
CM/FMM/03/1550,Construction
CM/FMM/03/1571,Construction
CM/FMM/03/2118,Construction
CM/FMM/03/879,Construction
CM/OSG/04/2492,Construction
A336473,Construction
CM/OSG/05/3394,Construction
CM/OSG/05/3481,Construction
CM/FMA/05/4206 Duplicate,Construction
CM/FMM/03/1572 Duplicate,Construction
A336998,Construction
A517498,Construction
RM3747,Construction
RM3763,Construction
A517534,Construction
RM938,Construction
A517560,Construction
A517608,Construction
A917522,Construction
A917792,Construction
A917855,Construction
RM119,Construction
RM125,Construction
RM6063,Construction
RM6320,Construction
RM6267,Construction
RM6088,Construction
A336384,Construction
RM875,Construction
CM/FMM/07/4843,Construction
RM158,Construction
RM6014,Construction
RM6184,Construction
RM1557.10,Cloud and Hosting
RM1557.11,Cloud and Hosting
RM1557.12,Cloud and Hosting
RM6272,Cloud and Hosting
RM1557.13L4,Cloud and Hosting
RM6358,Cloud and Hosting
RM1557.14L4,Cloud and Hosting
RM1557,Cloud and Hosting
RM1557ii,Cloud and Hosting
RM1557iii,Cloud and Hosting
RM1557iv,Cloud and Hosting
RM1557v,Cloud and Hosting
RM1557vi,Cloud and Hosting
RM1557vii,Cloud and Hosting
RM1557viii,Cloud and Hosting
RM1557ix,Cloud and Hosting
RM1557.15,Cloud and Hosting
RM1557.13,Cloud and Hosting
RM1557.14,Cloud and Hosting
RM6250,Cloud and Hosting
RM6405,Cloud and Hosting
RM6111,Cloud and Hosting
RM6292,Cloud and Hosting
RM6262,Cloud and Hosting
RM1069,Cloud and Hosting
RM6094,Digital and Technology Services
RM6099,Digital and Technology Services
RM6213,Digital and Technology Services
RM6222,Digital and Technology Services
RM869,Digital and Technology Services
RM1089,Digital and Technology Services
RM6347,Digital and Technology Services
RM1500,Digital and Technology Services
ISS/IA/480085P2P,Digital and Technology Services
ISS/IA/480086P2P,Digital and Technology Services
ISS/IA/480087P2P,Digital and Technology Services
RM1047,Digital and Technology Services
RM3764,Digital and Technology Services
RM3764ii,Digital and Technology Services
RM6193,Digital and Technology Services
RM3764.3,Digital and Technology Services
RM3764.4,Digital and Technology Services
RM1824,Digital and Technology Services
RM995,Digital and Technology Services
RM402,Digital and Technology Services
CM/ITB/06/4695,Digital and Technology Services
CM/ITB/06/4712,Digital and Technology Services
RM653,Digital and Technology Services
RM717,Digital and Technology Services
RM784,Digital and Technology Services
RM1058,Digital and Technology Services
RM3804,Digital and Technology Services
RM6100,Digital and Technology Services
RM6335,Digital and Technology Services
RM6401,Digital and Technology Services
RM6190,Digital and Technology Services
RM3765,Digital and Technology Services
RM6209,Digital and Technology Services
RM3810,Digital and Technology Services
RM6413,Digital and Technology Services
RM6148,Digital and Technology Services
RM1043.5,Digital and Technology Services
RM1043.7,Digital and Technology Services
RM6345,Digital and Technology Services
RM848,Digital and Technology Services
RM1043,Digital and Technology Services
RM591,Digital and Technology Services
A217834,Digital and Technology Services
RM1043ii,Digital and Technology Services
RM1043iii,Digital and Technology Services
RM6318,Digital and Technology Services
RM1043.8,Digital and Technology Services
RM1043.6,Digital and Technology Services
RM1043iv,Digital and Technology Services
RM6221,Digital and Technology Services
RM6249,Digital and Technology Services
RM6263,Digital and Technology Services
RM1043.9,Digital and Technology Services
RM6102,HR and Workforce Services
RM6107,HR and Workforce Services
RM6303,HR and Workforce Services
RM6415,HR and Workforce Services
RM1568,HR and Workforce Services
RM464C,HR and Workforce Services
RM3769,HR and Workforce Services
RM3822,HR and Workforce Services
RM3823,HR and Workforce Services
RM6145,HR and Workforce Services
RM6348,HR and Workforce Services
RM6219,HR and Workforce Services
RM6162,HR and Workforce Services
RM6229,HR and Workforce Services
RM6333,HR and Workforce Services
RM6394,HR and Workforce Services
RM1713,HR and Workforce Services
RM464B,HR and Workforce Services
CM/AAC/05/4132,HR and Workforce Services
CM/AAC/08/5048,HR and Workforce Services
RM6002,HR and Workforce Services
RM6290,HR and Workforce Services
RM6182,HR and Workforce Services
RM6273,HR and Workforce Services
RM6296,HR and Workforce Services
RM6400,HR and Workforce Services
RM932,HR and Workforce Services
RM820,HR and Workforce Services
RM3704,HR and Workforce Services
RM3795,HR and Workforce Services
RM6133,HR and Workforce Services
RM6238,HR and Workforce Services
CIPHER,HR and Workforce Services
RM1016,HR and Workforce Services
RM960,HR and Workforce Services
A217832,HR and Workforce Services
CMAAC095124,HR and Workforce Services
06/GEN/SS/1030,HR and Workforce Services
RM971,HR and Workforce Services
RM3826,HR and Workforce Services
RM3749,HR and Workforce Services
RM6416,HR and Workforce Services
RM6376,HR and Workforce Services
RM6160,HR and Workforce Services
RM6277,HR and Workforce Services
RM6288,HR and Workforce Services
RM6397,HR and Workforce Services
RM6158,HR and Workforce Services
RM6243,HR and Workforce Services
RM6380,HR and Workforce Services
RM6386,HR and Workforce Services
RM6387,HR and Workforce Services
RM1570,HR and Workforce Services
RM970,HR and Workforce Services
RM959,HR and Workforce Services
CM/AAC/09/5124,HR and Workforce Services
CM/AMN/07/4724,HR and Workforce Services
CM/AMN/07/4820,HR and Workforce Services
CM/ANN/06/4462,HR and Workforce Services
CM/ANN/06/4472,HR and Workforce Services
CM/ANS/08/4961,HR and Workforce Services
CM/AST/05/3546,HR and Workforce Services
CM/AST/08/4966,HR and Workforce Services
CM/OSG/03/947,HR and Workforce Services
CM/PSG/03/1598,HR and Workforce Services
CM/PSG/03/1605,HR and Workforce Services
CM/PSG/04/2840,HR and Workforce Services
CM/PSG/04/2812,HR and Workforce Services
CM/PSG/04/3293,HR and Workforce Services
CM/PSG/04/2812 Duplicate,HR and Workforce Services
RM692,HR and Workforce Services
RM3711,HR and Workforce Services
RM1072,HR and Workforce Services
RM6161,HR and Workforce Services
RM6163,HR and Workforce Services
RM6276,HR and Workforce Services
RM6278,HR and Workforce Services
RM6281,HR and Workforce Services
RM6395,HR and Workforce Services
RM6237,Low Value
RM6254,Low Value
RM6256,Low Value
RM6419,Low Value
RM6202,Low Value
RM6369,Low Value
RM6101,Software
RM6191,Software
RM6197,Software
RM6198,Software
RM6199,Software
RM6266,Software
RM6285,Software
RM6334,Software
RM6316,Software
RM6351,Software
RM6362,Software
RM6384,Software
RM6396,Software
RM865,Software
RM887,Software
MoU01,Software
MoU02,Software
MoU03,Software
MoU04,Software
MoU05,Software
MoU06,Software
MoU07,Software
MoU08,Software
BLA,Software
MoU,Software
RM341,Software
RM623,Software
RM1059,Software
RM1032,Software
RM1042,Software
A217837,Software
RM6064,Software
RM6065,Software
RM6194,Software
RM6340,Software
RM6321,Software
RM6417,Software
RM3821,Software
RM6247,Software
RM6259,Software
RM6363,Software
RM6173,Software
RM6200,Software
RM713,Software
RM6195,Software
RM6121,"Travel, Accommodation and Venues"
RM6408,"Travel, Accommodation and Venues"
CM/FMT/08/5010,"Travel, Accommodation and Venues"
NPU 08 10 9 1,"Travel, Accommodation and Venues"
RM918,"Travel, Accommodation and Venues"
RM1034,"Travel, Accommodation and Venues"
A607817,"Travel, Accommodation and Venues"
A607818,"Travel, Accommodation and Venues"
RM489,"Travel, Accommodation and Venues"
RM645,"Travel, Accommodation and Venues"
RM808,"Travel, Accommodation and Venues"
RM3735,"Travel, Accommodation and Venues"
RM6016,"Travel, Accommodation and Venues"
RM6164,"Travel, Accommodation and Venues"
RM6217,"Travel, Accommodation and Venues"
RM6342,"Travel, Accommodation and Venues"
A607819,"Travel, Accommodation and Venues"
CM/OSG/03/2371,"Travel, Accommodation and Venues"
RM1709,"Travel, Accommodation and Venues"
RM1555,"Travel, Accommodation and Venues"
RM1018,"Travel, Accommodation and Venues"
RM1049,"Travel, Accommodation and Venues"
A607820,"Travel, Accommodation and Venues"
RM6072,Facilities Management
RM6299,Facilities Management
RM917,Facilities Management
A337640,Facilities Management
A337742,Facilities Management
RM935,Facilities Management
A337852A,Facilities Management
A337852B,Facilities Management
A337852,Facilities Management
LCDOPS1430,Facilities Management
ADOS0001,Facilities Management
RM655,Facilities Management
RM781,Facilities Management
A517248,Facilities Management
RM3703,Facilities Management
RM3723,Facilities Management
RM112,Facilities Management
RM6059,Facilities Management
RM6171,Facilities Management
RM6368,Facilities Management
RM241,Facilities Management
RM236,Facilities Management
RM237,Facilities Management
RM239,Facilities Management
RM240,Facilities Management
RM929,Facilities Management
RM930,Facilities Management
RM963,Facilities Management
RM1006,Facilities Management
RM1008,Facilities Management
Courier,Facilities Management
RM238,Facilities Management
RM782,Facilities Management
UKLetters,Facilities Management
InterMail,Facilities Management
RM3798,Facilities Management
RM3799,Facilities Management
RM1063,Facilities Management
RM6017,Facilities Management
RM6280,Facilities Management
RM990,Facilities Management
RM6404,Facilities Management
RM6354,Facilities Management
RM6282,Facilities Management
RM6074,Facilities Management
RM6329,Facilities Management
RM6073,Facilities Management
RM6089,Facilities Management
RM6232,Facilities Management
RM6241,Facilities Management
RM6264,Facilities Management
RM6279,Facilities Management
RM6412,Facilities Management
A125358,Facilities Management
A334776,Facilities Management
A334853A,Facilities Management
A336664,Facilities Management
A336759A,Facilities Management
A336809,Facilities Management
A336863A,Facilities Management
A916843A,Facilities Management
A917771,Facilities Management
B336863A,Facilities Management
B337223A,Facilities Management
RM191,Facilities Management
RM922,Facilities Management
A206100,Facilities Management
PCS,Facilities Management
A127814,Facilities Management
CM/FMM/03/1061,Facilities Management
CM/FMM/03/818,Facilities Management
A127903,Facilities Management
CM/FMM/06/4463,Facilities Management
CM/FMM/08/5028,Facilities Management
A207108,Facilities Management
CM/OSG/03/1007,Facilities Management
CM/OSG/04/3314,Facilities Management
CM/FMM/04/3301,Facilities Management
CM/OSG/03/1784,Facilities Management
CM/OSG/04/2641,Facilities Management
CM/OSG/04/2642,Facilities Management
CM/OSG/04/2643,Facilities Management
CM/OSG/04/2644,Facilities Management
CM/OSG/04/3310,Facilities Management
CM/OSG/04/3311,Facilities Management
CM/OSG/04/3312,Facilities Management
CM/OSG/04/3313,Facilities Management
A336860,Facilities Management
CM/FMM/08/5012,Facilities Management
Framework 98,Facilities Management
RM196,Facilities Management
RM246,Facilities Management
RM3772,Facilities Management
RM3830,Facilities Management
RM3720,Facilities Management
RM708,Facilities Management
RM849,Facilities Management
RM6331,Facilities Management
CM/OSG/05/3565,Facilities Management
RM1031,Facilities Management
RM1056,Facilities Management
RM6130,Facilities Management
RM6154,Facilities Management
RM6155,Facilities Management
RM6257,Facilities Management
RM6410,Facilities Management
RM6378,Facilities Management
RM6409,Facilities Management
A336492,Facilities Management
RM1501,Facilities Management
RM928,Facilities Management
A337456,Facilities Management
RM397,Facilities Management
RM440,Facilities Management
FCMT0029,Facilities Management
A207546,Facilities Management
CM/OSG/03/936,Facilities Management
A207573,Facilities Management
A327237,Facilities Management
RM3816,Facilities Management
RM3812,Facilities Management
RM6168,Facilities Management
RM6119,Facilities Management
RM6308,Facilities Management
RM6343,Facilities Management
RM6295,Professional and Business Services
RM6181,Professional and Business Services
RM3815,Professional and Business Services
RM6007,Professional and Business Services
RM6126,Professional and Business Services
RM6414,Professional and Business Services
RM1086,Professional and Business Services
RM6004,Professional and Business Services
RM6018,Professional and Business Services
RM6141,Professional and Business Services
RM738 Lot 1,Professional and Business Services
RM738 LOT 2,Professional and Business Services
11/GEN/25,Professional and Business Services
RM987,Professional and Business Services
RM3707,Professional and Business Services
RM1092,Professional and Business Services
RM6302,Professional and Business Services
RM6137,Professional and Business Services
RM6179,Professional and Business Services
RM6183,Professional and Business Services
RM6203,Professional and Business Services
RM6204,Professional and Business Services
RM6240,Professional and Business Services
RM6284,Professional and Business Services
RM6336,Professional and Business Services
RM6374,Professional and Business Services
RM1675,Professional and Business Services
RM924,Professional and Business Services
RM919,Professional and Business Services
LCAT,Professional and Business Services
RM373,Professional and Business Services
CM/DCO/05/3421,Professional and Business Services
CM/OSG/04/3094,Professional and Business Services
RM3786,Professional and Business Services
RM3756,Professional and Business Services
RM3717,Professional and Business Services
RM3787,Professional and Business Services
RM3788,Professional and Business Services
RM6360,Professional and Business Services
RM6134,Professional and Business Services
RM6135,Professional and Business Services
RM6311,Professional and Business Services
RM6350,Professional and Business Services
RM6349,Professional and Business Services
RM1565,Professional and Business Services
RM1704,Professional and Business Services
RM1705,Professional and Business Services
RM1707,Professional and Business Services
RM1708,Professional and Business Services
RM1710,Professional and Business Services
RM1712,Professional and Business Services
RM1714,Professional and Business Services
RM1715,Professional and Business Services
RM1720,Professional and Business Services
RM1725,Professional and Business Services
RM1726,Professional and Business Services
RM1721,Professional and Business Services
RM1722,Professional and Business Services
RM1724,Professional and Business Services
RM1038,Professional and Business Services
RM1020,Professional and Business Services
RM1002,Professional and Business Services
RM1033,Professional and Business Services
RM1022,Professional and Business Services
RM988,Professional and Business Services
RM1051,Professional and Business Services
RM3708,Professional and Business Services
RM3774,Professional and Business Services
RM3796,Professional and Business Services
RM3727,Professional and Business Services
RM6003,Professional and Business Services
RM6124,Professional and Business Services
RM6125,Professional and Business Services
RM6364,Professional and Business Services
RM6123,Professional and Business Services
RM6169,Professional and Business Services
RM6187,Professional and Business Services
RM6188,Professional and Business Services
RM6269,Professional and Business Services
RM6309,Professional and Business Services
RM6399,Professional and Business Services
A217835,Professional and Business Services
FATS-3,Professional and Business Services
RM830,Professional and Business Services
RM1028,Professional and Business Services
RM1502,Professional and Business Services
A217836,Professional and Business Services
A217841,Professional and Business Services
RM353,Professional and Business Services
SCAT,Professional and Business Services
RM662,Professional and Business Services
RM3742,Professional and Business Services
A217840,Professional and Business Services
RM3719,Professional and Business Services
RM3745,Professional and Business Services
RM6008,Professional and Business Services
RM6310,Professional and Business Services
RM6103,Hardware
RM6147,Hardware
RM6174,Hardware
RM6175,Hardware
RM6246,Hardware
RM6274,Hardware
RM6398,Hardware
RM189,Hardware
RM921,Hardware
RM1599,Hardware
RM966,Hardware
RM1689,Hardware
RM1687 Lot 1,Hardware
RM1687 Lot 2,Hardware
RM1692,Hardware
HMRC01,Hardware
HMRC02,Hardware
RM1040,Hardware
RM1078,Hardware
GCAT,Hardware
PPRO,Hardware
A337223,Hardware
RM722,Hardware
RM721,Hardware
A217833,Hardware
RM720,Hardware
RM1054,Hardware
RM1050,Hardware
RM450,Hardware
RM3797,Hardware
RM3781,Hardware
RM3733,Hardware
RM3785,Hardware
RM3777,Hardware
RM6071,Hardware
RM6068,Hardware
RM6098,Hardware
RM6170,Hardware
RM6275,Hardware
RM6317,Hardware
RM6328,Hardware
RM6420,Hardware
RM6297,Hardware
RM6371,Hardware
RM6389,Hardware
RM6361,Hardware
RM6346,Hardware
