,Category,Subcategory,Description,AI Classification,
,Facilities Management,,CCTV SAFER STREETS INITIATIVE CxCTV 15 CAMERAS 5 SPOT CAMERAS WIRELESS LINK TO CONTROL ROOM CONNECTIONS AND EQUIPMENT,facilities management,
,Facilities Management,,"Leidos Supply Ltd, as Delivery Partner for the LCST Contract, hereby inform on behalf of the Secretary of State for Defence, the intention to extend the Overseas Deployable Food Programme Contract Number DFP/001 by 26 months to 30 November 2026, with two further extendable period options, of initially 6 month followed by 4 months, with the incumbent supplier, Ecolog Deutschland GmbH, to ensure continuity of food supplies to overseas defence locations in the enduring extension period. Ecolog Deutschland GmbH have the global reach and footprint in overseas defence locations, with site security and building access, that cannot be reproduced without significant risk to the essential food deliveries. Additional Deliveries of Goods Regulation 32(5)(b), and Technical grounds Regulation 32(2)(b)(ii).",facilities management,
,Facilities Management,,Maintenance services for the Building Management System at Moorgate.,facilities management,
,Facilities Management,,Repair and maintenance of fire and security/intruder alarm systems; Repair and maintenance of access control systems; Repair and maintenance of CCTV systems; Repair and maintenance of systems at designated sites.,facilities management,
,Facilities Management,,"LTS conducted a further competition under Lot 3 of ESPO Framework Agreement 98_22 Catering Equipment to appoint a Supplier to ensure our commercial kitchen equipment is kept in a safe and reliable working order and operating with optimum efficiency, and to achieve conformity with all current regulations. The Council provides a wide range of services to over 600,000 local people. The main centres of population in the county are market towns, but the population is split between a few small urban areas, extensive suburban areas, and a range of rural settlements. The county includes the towns of Loughborough and Melton Mowbray to the north, Market Harborough to the southeast, Hinckley to the southwest and Coalville and Ashby-de-la Zouch in the west of the county. Keywords: kitchen equipment",facilities management,
,Cloud and Hosting,,"The National Audit Office (NAO) awarded a contract to the Amazon Web Services EMEA SARL, UK Branch who will be providing Immutable storage for AD & Entra Backups to the NAO. The contract commenced on Wednesday 4th September 2024 for an initial period of 3 years until Friday 3rd September 2027  with an optional 12-month extension until Sunday 3rd September 2028.",cloud and hosting,
,Cloud and Hosting,,Application support and hosting for Platform Train Interface Risk Assessment Tool (PTIRAT),cloud and hosting,
,Cloud and Hosting,,"Provide hosted Software as a Service (SaaS) E-tourism platform including, but not limited to, web content management tools (CMS), product data repository (DMS), consumer database (CRM), trade customer database (BRM) and e-commerce functionality Provide hosted website(s) to showcase Staffordshire as a short break holiday destination with detailed tourist information (enjoystaffordshire.com) and a separate trade / industry microsite (destinationstaffordshire.com) with information for businesses.",cloud and hosting,
,Cloud and Hosting,,"This contract is for the provision of services and support to help MOD increase adoption of their cloud based offerings, to help establish new capabilities, evolve existing capabilities and provide ongoing cloud based advice and support.",cloud and hosting,
,Cloud and Hosting,,"Provision of a web hosting platform that supports hosting websites, remote files and applications across the web or in the cloud to support delivery of GAD's web-based tools and applications directly to our clients.",cloud and hosting,
,Network Services,,"This contract is for provision of mobile voice, data and APN link to Yorkshire Ambulance Service. This contract was called off CCS framework RM6261 after a further competition process was completed. BT was awarded the contract after winning the overall conditions of the bid, without any supplier challenging the decision.",network services,
,Network Services,,"The Police & Crime Commissioner on behalf of Warwickshire Police has awarded a contract for network equipment, firewall licences and additional services. The Authority requires firewall licences and LAN equipment to support current infrastructure and the ability to update its network infrastructure, with the possibility to purchase additional equipment over the contract term.  This was a direct award via Crown Commercial Services RM6116 Network Services 3 Lot 2a Intra Site Connectivity (Local Area Network) / Local Connectivity Services.  The contract term is for 5 years.",network services,
,Network Services,,"The Department for Transport intended to replace the data networks in most of its central office buildings. This will be for new WiFi and LAN connections in each building along with responsibility for monitoring, management and fault fixing for the WiFi and LAN, and also for monitoring and addressing any issues on the internet links supplied under this procurement. The WiFi/LAN and internet connections will be used for Office 365 (including Skype voice and video), access to legacy servers hosted in the cloud and general internet access.",network services,
,Network Services,,"Design, implementation and operation of 5G and advanced wireless network services and the exploration of associated business applications.",network services,
,Network Services,,"The Supplier will supply, install and test Category 5e, Category 6 UTP, and fibre optic data network cabling at the Authority's premises, including logging, tracking, scheduling, and reporting requests for work.",network services,
,Outside New Taxonomy,,A contract to supply microchips to vet surgeries,outside new taxonomy,
,Outside New Taxonomy,,"Service contract for medical equipment probes, placed with OEM.",outside new taxonomy,
,Outside New Taxonomy,,"Temporary rental of specialist medical equipment designed to support the care and mobility needs of bariatric patients-typically individuals with a higher body weight or BMI requiring enhanced support. This equipment includes items such as bariatric beds, mattresses, hoists, chairs, commodes, and mobility aids that are engineered to accommodate greater weight capacities and provide safe, dignified care.",outside new taxonomy,
,Hardware,,"NHS GM ICB has a range of corporate statutory responsibilities that require the receipt, management, and retention of a range of information related to risk, incidents, patient / public enquiries, Board and committees, Health and Safety, Conflict of Interest management and other corporate matters. There is a need for a robust, accessible, technically proficient and GDPR compliant system, ideally to manage all corporate information.",hardware,"Note: this is an example of Records Information Management, which are usually difficult because they can be incorrectly classified as Software"
28624,Financial Services,Insurance,"— Third party claims handler to manage our claims services for the following claim categories: 
1. Third party property damage for claims > 150 GBP.
2. Third party property damage for claims > 500 GBP.
3. Utility strike.
4. Third party personal injury.",,
410717,Financial Services,Payment Services,"Status: Awarded
A contract award notice following a direct award for electronic payment services to Allpay Ltd under the Northern Housing Consortium Electronic Payment Services Framework.",,
465957,Financial Services,Payment Services,"***Please note this is an award notice, not a call for competition***
Post Office Limited (POL) has a requirement for Merchant Acquiring and Gateway Services.
This has been sourced via direct award against CCS RM6118 Payment Acceptance Framework Agreement - Lot 1 Face to Face and Card Not Present (CNP) Card Acquiring, Gateway and Alternative Payment Methods (APM), although POL does not have a requirement for APM Services at this time.",,
940119,Financial Services,Payment Services,"***THIS IS A CONTRACT AWARD NOTICE***
The purpose of the Financial Reporting Council (FRC) is to serve the public interest by setting high standards of corporate governance, reporting and audit and by holding to account those responsible for delivering them.
Our direct stakeholders include companies, institutional investors, auditors, actuaries, accountants and their respective professional bodies. Our indirect stakeholders include retail shareholders, suppliers, employees, customers, communities, pensioners and savers, and financial institutions, all of whom have an interest in the health of companies and other organisations within our existing and future regulatory scope and in the success of the UK corporate sector as a whole.
By agreement with DBT and HM Treasury, the FRC is funded partly through a levy on the following organisations that are subject to, or have regard to, FRC regulatory requirements in preparing their accounts:
• Companies listed on the London Stock Exchange, and UK AIM and AQUIS Market group companies with an equity share listing.
• Large private entities with a turnover of £500m or more. Subsidiaries of UK listed companies with a turnover of £500m or more are invoiced on the same invoice as their parent company.
• Standard Global Depository Receipt companies ('GDRs'). • Government Departments and other public sector organisations that publish accounts.
Further information on the FRC's funding can be found: -
https://www.frc.org.uk/about-the-frc/funding 
This procurement activity sought to engage an organisation to undertake
Levy Administration Collection Services, including but not limited to
• Issuing and sending all invoices to all Levy Payers
• Reminders and Chasers
• Payment request enquiries
• Reconciliation of Levies received
• Managing Refunds
• Operation and Customer Service
• Account Management
• Reporting and MI
PLEASE NOTE THIS OPPORTUNITY WAS ALSO  PUBLISHED ON FIND A TENDER
***AWARD NOTICE***",,
163924,Financial Services,Revenue and Recovery,"HMRC are looking for a single supplier (who may be a Debt Collection Agency, Debt Broker, or any other organisation, having the necessary capability and capacity) to provide a debt collection service for tax credit debts. These services are also part of the wider UK Government debt management strategy which includes a clear time-bound commitment to rapidly extend the collection of Tax Credit debt as outlined in the Autumn Statement 2013.
            It is intended that the successful supplier will have the capacity to accommodate debt placements in the total region of 3 billion, to be allocated in stages (probably monthly). The service will not include any face to face contact or enforcement activity, and will be required for a period of 2 years. 
            ",,
844270,Fleet,Purchase of Standard and Specialist Vehicles,Four (4) x Type C Van Conversion Minibus - Welfare Vehicle Flexible Seating Capacity up to Two (Three) Wheelchair Passengers - or Eight Individual Fixed Seats (B Licence),,
732697,Fleet,Fleet Ancillary Products,"Babcock Land Defence Limited acting as agent to the UK Ministry of Defence (""the Authority"") has placed a Call Off Under Lot 1 of CCS Framework Agreement RM6142 for the Supply, fit and Management of Tyres and Associated Products and services.

This notice is for the purposes of transparency only and is not a request for expressions of interest.",,
888690,Fleet,Purchase of Standard and Specialist Vehicles,"*** Award Notification only ***
Call off from crown Commercial Services Framework RM6060
Three Vans
1 Off 350 L3HZ
1 Off 310 L2
1 Off 350 L3",,
1093772,Fleet,Vehicle Hire Solutions,"*** THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION ***

This procurement is being concluded following a further competition under the CCS RM6265 Vehicle Hire Solutions for UK Research and Innovation.

UK Research and Innovation was seeking a Supplier to provide a variety of hire vehicles within the UK, including standard passenger cars (manual, automatic, diesel, petrol, fully electric, low emission) as well as Light Commercial Vehicle up to 3.5 tonnes (LCV - vans to carry goods) Hire, on road and full off road 4 x 4s Vehicle Hire, Minibus (9-to-17-seater) and Car Share.

The Supplier shall provide a comprehensive and value for money vehicle hire sourcing and booking service solution, within the United Kingdom that meets all requirements of the specification.",,
1067031,Fleet,"Vehicle Leasing, Fleet Management and Salary Sacrifice Car Schemes","***Please note this is an award notice, not a call for competition*** UK Research and Innovation (UKRI) had a requirement for a lease vehicle This procurement has been concluded as a competitive quotation (below threshold)",,
684571,HR & Workforce Services,Learning and Development,YPO - 000999 Training for The Emergency Services and wider Public Sector,,
572286,HR & Workforce Services,Employee Services,YPO are looking for a Provider to be appointed onto a Contract for the provision of high quality Occupational Health Services (OHS) for YPO employees (subject to current Government contact guidance in response to the COVID-19 pandemic). The Contract is designed to meet the needs of YPO and any of YPO's wholly owned associated or subsidiary companies.,,
728603,HR & Workforce Services,Learning and Development,Yorkshire Ambulance Service NHS Trust (YAS) (The Authority) have appointed one (1) organisation for the End Point Assessment (EPA) of the Level 3 IFATE Ambulance Support Worker and IFATE Level 4 Associate Ambulance Practitioner standards.,,
143120,HR & Workforce Services,Permanent Recruitment,"York College are tendering for the provision of Media Buying and Recruitment Advertising services. The College is seeking to appoint a media buying agency to manage the buying of advertising and media, and a recruitment advertising agency to manage the recruitment advertising requirements across the College. The tender process is separated into 2 tender lots to allow for the best fit service provider to be appointed for each role. However a single media buying/advertising agency may be appointed if deemed to be the most economically advantageous solution for the College. Initial contract duration will be for a period of 12 months commencing 1.6.2016, with an option to extend for any period or periods up to a further 48 months.",,
222693,HR & Workforce Services,Employee Services,"Working closely with and supporting the Authority's in house Occupational Health Service by delivering sickness absence case advice, fitness to work consultations, specialist medicals, supporting the ill health retirement process, advising on reasonable adjustments, medical redeployment, outcomes of health surveillance and other duties as specified.",,
837346,Outsourced Services,Contact Centres Service Provision,"You are invited to tender for the provision, maintenance and support of our contact centre telephone system for South Norfolk Council and Broadland District Council (""The Councils) Procurement Ref: 165/SN/22. The tender will be in the form of a further competition in accordance with Crown Commercial Service's (CCS) procurement framework RM3808 Lot 13. The contract will be awarded in accordance with the framework documentation.",,
876589,Outsourced Services,Contact Centres Service Provision,"Working in partnership with Accent and its other agencies to enable delivery of its corporate
strategy in an efficient manner, Accent are looking for a single Contractor to deliver high
quality comprehensive Out of Hours Contact Center Services. Including but not limited to:
Out of Hours Contact Center Call Handling,
Planned / Scheduled call handling
Overflow Call Handling
The successful Contractor will have an experienced skill set and a proven track record of
providing a similar out of hours contact center provision.
A combination of key proposals for service delivery, strong quality offerings, and contract
management alongside keen commercial pricing are fundamental parts of this contract, with
high expectations of the appointed Contractor's abilities to support and add value to Accent
in a tangible and meaningful manner.
Initial contract term is 36 months (3 Years) with the option to extend by 2 x 12 months - at
Accent's discretion.",,
594638,Outsourced Services,Contact Centres Service Provision,"Wiltshire Council provides an Out of Hours (OOH) call handling service 365 days a year that covers a variety of services. The main users are Highways, Housing, Public Protection, and dog control.",,
190459,Outsourced Services,Contact Centres Service Provision,"Victory Housing Trust is tendering it’s outsourced call handling service and is seeking a provider who will work with Victory to provide a high quality and high reliability service that meets the current and developing needs of our residents. Victory’s current out-of-hours call handling service receives an average of 450 calls per month (outside of Victory’s normal service window of Monday-Friday 08:30-17:00, excluding bank holidays).",,
911777,Outsourced Services,Contact Centres Service Provision,"This procurement process is to identify a suitable supplier to undertake the delivery of an 'Out of Hours' (OOH) telephone call handling service for residents of the Council and other organisations that Hackney Council takes inbound Calls from on behalf of. The supplier will provide a telephone call handling service outside of the Council’s normal operating hours of 09:00-17:00, weekends and bank holidays in addition to possible emergency response to support the council’s statutory duties.

The Council requires a supplier with an excellent track record of providing a high standard of call handling and associated services relevant to the scope of the specification. The supplier will be able to demonstrate their experience and ability in delivering such requirements to other similar customers in the UK, comparative to the size and complexity of the customer.

The contract duration will be for 1 year with a 1-year optional extension. It is estimated that the new contract will commence April 2021.",,
568355,Professional Services,Consultancy and Audit Services,Zero Waste Scotland required a skilled and experienced Contractor to provide evaluation consultancy services to assess the impacts of the Energy Efficiency Business Support Service (EEBSS).,,
850243,Professional Services,"Campaign, Comms and Media","YPO are looking for Providers to be appointed onto a Framework Agreement for the provision of Creative Agency, Brand Marketing, Public Relations & Public Affairs, Print and Video Production services. The Framework is designed to meet the needs of YPO and any of YPO's wholly owned associated or subsidiary companies.",,
699800,Professional Services,"Campaign, Comms and Media","You are invited to tender for the role of digital advertising agency, to support Central Bedfordshire in the creation, placement/implementation, optimisation and reporting of digital and new media advertising campaigns.",,
670523,Professional Services,Consultancy and Audit Services,"You are invited to tender for Centre for Digital Public Services (CDPS) Internal Audit Service competition in accordance with the attached document (CDPS Internal Audit Service ITT).  

Our requirement is to procure an Internal Audit Service to deliver a three-year rolling audit plan and Audit Strategy. 

The intention is to procure an Internal Auditor (the successful Supplier) to provide a comprehensive Internal Audit Service in accordance with Public Sector Internal Audit Standards to the CDPS. 

The proposed contract length is an initial 12-months, with the option to extend up to a further 24-months in separate 12-month instalments, at the sole discretion of the CDPS. 

This Procurement is being carried out in accordance with the Public Contract Regulations 2015 under the open procedure. Tenderers can submit a bid as a single legal entity, with other legal entities (to form a consortium) or with named sub-contractors. 

The anticipated date for the contract award decision is December 2021. Please note that this is an indicative date and may change. 

Submit your proposal by completing the attached ITT and pricing documents.",,
38729,Professional Services,Research,"You are invited to submit a tender for providing the Authority with 
            technical services to assist with The Coal Authority's Research and Development Programme
            
            We are seeking to appoint a partner to deliver this work starting on site in October 2017.
            
            This invitation to tender comprises the following documentation against which you are invited to tender:-
            
            (a) Instructions to Tender
            (b) Project Scope
            (c) Tender Response Form
            (d) Various Attachments
            
            Please be aware that this tender exercise will be undertaken via the Coal Authority's eTender portal hosted by Bravosolution.
            
            Should you wish to participate in this tender exercise you need to register your company details, which will require the provision of some company information and agreement to terms and conditions to access the system.
            
            In order to register please log on to www.coal.bravosolution.co.uk and should you have any difficulties with this procedure, please contact Bravosolution, the Authority's provider, on 0800 368 4850 (free phone number), who will assist you throughout the whole procedure at anytime. 
            
            Although the despatch, completion and return of tenders will be undertaken electronically, the Authority will issue a letter to award the contract. 
            
            Once your organisation is registered and you have been notified of your log in details, you should be able to log into the system and review the documentation for this project.",,
408996,"Travel, Accommodation and Venues",Travel,WRAP wished to appoint supplier(s) to provide travel management services to fulfil WRAP's requirements for booking business travel and providing supporting services both nationally and internationally.,,
889473,"Travel, Accommodation and Venues",Travel,Work Travel Scheme 2023-24,,
820936,"Travel, Accommodation and Venues",Travel,"We are inviting quotes for the delivery of a taxi service, a return journey required 4 days per week, between home B65 0AG (pick up 9:15) and Focus day care, B17 9AT (3:30 pm) each Monday, Tuesday, Wednesday and Friday of each week, excluding bank holidays.  The SU who will be travelling alone, is not to be left alone under any circumstances.  We are looking for competitive quotes to achieve the best value service for our Service User within the region of £10K to £14K per annum.  The planned date for awarding this service will be Friday 16/06/23 and therefore the closing date for quotes to be received will be Wednesday 14/06/23 at 5pm.  The planned start date of service will be Monday 19 June 2023.",,
99829,"Travel, Accommodation and Venues",Travel,"VOA Enabling Agreement from CCS Framework RM 3735 Travel and Venue Management Services. Provision of Domestic and International Business Travel booking - Hotels, Air and Rail.",,
346856,"Travel, Accommodation and Venues",Travel,Venue Finding Services. Call-off contract from CCS framework RM6016 Lot 5. Public Sector Travel and Venue finding services.,,
,Low Value,,,,
,Low Value,,,,
,Low Value,,,,
,Low Value,,,,
,Low Value,,,,
,Digital and Technology Services,Technology Strategy and Information,"Historic England (HE) and English Heritage Trust (EHT) who it supports through a Shared Service are looking to engage with a supplier to provide a range of scheduled and ad-hoc security services to help both organisations protect themselves against cyber threats.
The successful partner will be able to offer a range of services (see tender documents) allied with a proactive approach to supporting the organisations and including the ability to communicate at all levels, from technical specialists to C-level.",,
,Digital and Technology Services,DDAT Resource Augmentation,Provision of an end to end integration and user testing activities for the NHS Test and Trace solution to support the COVID-19 pandemic (Quality & Assurance of IT and Digital Systems).,,
,Digital and Technology Services,Technology Managed Services,"Awarded using Crown Commercial Service RM6100 Technology Services 3 Framework, Lot 3a End User Services following a further competition process with a voluntary standstill period.

Ofwat is seeking for the first time, an outsourced IT Supplier partner for 2 aspects of IT Services: Service Desk, and End User Compute. This is a new approach to delivery of IT Services in Ofwat and can be considered a significant change for our people.

The Contract is for 3-years fixed initial term with option to extend in periods for up to 24 months as (2) terms of one (1) year.

The budget for this contract is up to £200k excl VAT per annum for the initial 3-year term. It is Ofwat's expectation that any uplift post the 3-year term would be in line with CPIH at the prevailing rate.

Our requirements will cover the background and context for each and are split into the following sections:

• The two Services to be outsourced:
o Service Desk
o End User Compute (EUC)

• Service and Support Requirements for these two Services

The ultimate aim is for a supplier to provide Services to Ofwat that:

• support our end users who work in a hybrid way at home and at our two offices - Birmingham (Head Office) and Canary Wharf, London;
• delivers, supports and maintains our end user device estate;
• gains coverage and resilience from a supplier's wider resources to support our services;
• capitalise on the Supplier's experience with these IT services to continually improve the efficiency and effectiveness of these IT services; and
• potentially gain access to the Supplier's broad range of professional resources for rapid 'time to market'.

Whilst the organisation is small, between 250 - 300 people, Ofwat's people are geographically dispersed across the UK with 2 offices, the primary office being Birmingham and a satellite site located in Canary Wharf, London. As part of our strategy refresh we have been challenged by the UK Government to assess our regulation approach. We submitted a bid to HM Treasury for an increase in headcount and have had approval to proceed. We do not know the full impact but it will be in the region of an additional 100 FTE which will be recruited to over the next 12-18 months. At the time of this ITT publication, it is unknown whether there will be further deviation in these numbers post the 18 months.",,
,Digital and Technology Services,Technology Managed Services,"Awarded using ESPO Strategic HR Services Framework Agreement (reference 3S-22, Lot 1f IT, Digital, Media & Marketing.

An IT Engineer with experience in AutoPilot, SCCM, Windows 10 deployment, and device management to join our dynamic IT team for up to a 6-month period to support a period of increased business activity. As an IT Engineer, you will play a crucial role in ensuring smooth and efficient deployment and management of laptops across Ofwat. Your primary focus will be on leveraging AutoPilot and Windows 10 to streamline the deployment process and provide excellent user experiences. There will also be a need to support the End User devices using SCCM.

Key deliverables:

• Ensure necessary improvements to, and troubleshooting of, our Microsoft InTune/Endpoint Manager solution, to ensure the successful deployment of Windows Surface devices to the Ofwat end users.
• Manage the end-to-end deployment of laptops using AutoPilot and SCCM, ensuring a seamless user onboarding experience.
• Maintain standardised images, configurations, and software packages for Windows 10 laptops.
• Maintain processes for deploying software updates, patches, and security enhancements.
• Troubleshoot and resolve deployment issues, including hardware and software compatibility, driver conflicts, and system configuration problems - up to a second line support level.
• Monitor and manage laptop inventory, ensuring accurate asset tracking.
• Provide technical support and guidance to end-users regarding laptop setup, configuration, and troubleshooting.
• Conduct regular system audits to identify vulnerabilities, security risks, and areas for improvement.
• Stay up-to-date with industry trends and emerging technologies related to laptop deployment and management.
• Hands-on support of Ofwat's users as we deploy devices to new users and support existing users with a move to AutoPilot managed devices.
• Support the rollout of additional equipment and services to ensure a smooth induction and transition for Ofwat employees. This may include 'working from home' kits and other end user devices, such as phones.",,
,Digital and Technology Services,Transport Technology and Services,"Provision of a car park management solution that controls visitor and staff parking, across the three main hospital sites, Lincoln County; Boston, Pilgrim; and Grantham and District Hospitals.
The Authority requires ANPR cameras to capture vehicle entry and exit, and manual ticket Parking Charge Notice enforcement in accordance with the Trust's car park regulations and contravention requirements. This includes non-payment and erroneous parking.
The Authority shall retain 100% of the parking tariff income. The Contractor shall retain 100% of the income generated from Parking Charge Notices, which the Contractor shall use to fund the capital equipment and operational delivery of the service.
The contract will commence on 1st August 2025 for an initial period of five years with the option to extend by two periods of twelve months.
Following, the recent formal coming together of United Lincolnshire Hospitals NHS Trust and Lincolnshire Community Health Services, to form one Group, this may extend shared car parking facilities within the Group during the Contract. Therefore, the Contract shall be accessible to Lincolnshire Community Health Services NHS Trust.",,
,Hardware,Hardware,Provision of a lease agreement for multiple Toshiba printers across the estate together with a support and maintenance contract.,,
,Hardware,Hardware,Purchase of hardware equipment and associated licenses necessary for Datacentre and Trust refresh,,
,Hardware,Hardware,"Derby City Council (the Council) is undertaking this procurement to establish a contract for Elections and Electoral Registration Bulk Mailing and Printing Services.

The procurement process adopted by the Council is based on the 'Open' tendering procedure as detailed in the Public Contracts Regulations 2015.

The contract period is 2 years; the contract is estimated to commence on 1st April 2025 and expire on 31st March 2027.

There will be an option to extend the contract for 3 years in annual increments.

Please note suppliers wishing to express interest and obtain the documentation must do so by 12:00pm on Sunday 9th February 2025. It is recommended that you express interest and obtain the documentation well before this time to allow sufficient time to prepare and submit a bid.

The deadline for returns is 12:00pm on Monday 10th February 2025.

Documents are available at www.eastmidstenders.org
(https://www.eastmidstenders.org)

Please search for TD2206 or DN752918.

Please note: we will only accept expressions of interest through the e-tendering system.",,
,Hardware,Hardware,"Hywel Dda University Health Board (HDUHB) have awarded a contract for the lease of three (3) document scanners to establish an internal scanning bureau for the scanning of patient records into an Electronic Document Records Management system (EDRMs). The three (3) scanners are to be installed at the following location:• Unit 3, Dafen Industrial Estate, Heol Cropin, Llanelli, SA14 8QW.The contract was initiated under the Crown Commercial Service Framework Agreement for MFDs, Print and Digital Workflow Software Services and Managed Print Service Provision Framework Agreement (RM6174) under Lot Two (2) MFDs, Print Management and Digital Workflow Software.",,
,Software,"Data and Analytics, AI and Automation","Procurement Overview: AI-Powered Translation Solution
Purpose:
We are seeking a qualified supplier to provide an Artificial Intelligence (AI) solution for accurate, efficient, and scalable translation services. This solution will primarily be used for translating documents and mandatory signage to support our organization's multilingual communication requirements.
Scope of Requirement:
The AI translation solution must be capable of:
Translating written documents (e.g., reports, manuals, instructions) across multiple languages.
Translating and localizing mandatory signage to meet regulatory and cultural standards.
Ensuring high levels of accuracy and contextual understanding in translations, particularly for technical, legal, and safety-related content.
Supporting commonly used file formats (e.g., PDF, DOCX, JPG for scanned documents).
Integrating into our existing document management systems, if applicable.
Mandatory Features:
AI-driven translation engine with support for at least 10 major global languages.
OCR (Optical Character Recognition) functionality to translate scanned or photographed documents.
Customizable glossaries or translation memory features to maintain consistency across translations.
Data privacy and compliance with relevant regulations (e.g., GDPR).
User-friendly interface or API for internal team access.
Evaluation Criteria:
Translation accuracy and contextual relevance.
Ease of integration and user interface quality.
Service scalability and turnaround times.
Pricing model and total cost of ownership.
Supplier experience and customer support capabilities.",,
,Software,"Data and Analytics, AI and Automation","Data Modelling Software to find, visualize, design, deploy and standardize enterprise data assets. Discover and document data from anywhere for consistency, clarity and artifact reuse across large-scale data integration, master data management, metadata management, Big Data, business intelligence and analytics initiatives, while supporting data governance and intelligence efforts.",,
,Software,"Data and Analytics, AI and Automation","The Police and Crime Commissioner for Surrey, on behalf of themselves and the following authorities;
• The Police and Crime Commissioner for Sussex
• The Chief Constable for Thames Valley Police, acting on behalf of The Chief Constanble for Hampshire and Isle of Weight Constabulary
• The Police, Fire and Crime Commissioner for Northamptonshire (acting as Policing Body for Northamptonshire)
They are running this single stage open process to award a contract for the provision of an automated text redaction solution, as detailed in the Invitation to Tender and Statement of Requirement.
The contract(s) will be for an initial 2 years with the option to extend further for up to 8 x 12 month increments.
Whilst participating under one tender, each Authority will have the option to contract with the successful supplier, with individual contracts.
The anticipated commencement date of the Contract is 1st August 2025, with an appetite to the solution going live shortly after.
Police Forces routinely handle large volumes of sensitive information across a range of operational and administrative contexts. Whether processing crime reports, body worn video transcripts, witness statements or disclosure bundles, there is a consistent and critical need to protect personally identifiable information (PII), safeguarding data subjects and maintaining compliance with legal obligations such as the UK GDPR, the Data Protection Act 2018, and Criminal Procedure and Investigations Act (CPIA) requirements.
Automated text redaction software offers an opportunity to streamline workflows, reduce the burden on staff, and ensure consistent application of redaction rules. By leveraging AI or rules-based automation, forces can safeguard sensitive context while freeing up valuable time and resources for high value tasks, ultimately improving service delivery, data security and public trust",,
,Software,Software,Procurement of Microsoft Office Licenses for use with MasterGov software.,,
,Software,Software,"The provision of an online booking system to manage bookings and payments for sports services and facilities at Hyde Park, The Regent's Park and Greenwich Park.
To view this notice, please click here:
https://www.delta-esourcing.com/delta/viewNotice.html?noticeId=972771746",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
